titles,isbn,author,review source,average rating,review author,review content
To Kill a Mockingbird,0061120081,Harper Lee,Barnes and Noble,4.5,Renelche,"This is such a moving book.  It is rich with southern texture.  A coming of age tale in the Depression Era south, the book speaks to people today as much as it did when it was written.  Every time I read it, I find that it tells me more about children, adults, feelings, and how we deal with one another as people.  I also find that, each time I read it, I am uplifted."
To Kill a Mockingbird,0061120081,Harper Lee,Barnes and Noble,4.5,theReader278,I loved reading this wonderful book! It is a story that keeps you entertained for hours.
The Great Gatsby,0743273567,F. Scott Fitzgerald,Barnes and Noble,4.1,Artazen,"Want to buy. Will not. YOU CAN NOT JUSTIFY CHARGING THIS PRICE FOR THIS BOOK. CAN NOT. I HATE having to complain but this trend of jacking up prices for our computer file nooks is becoming common practice and is an insult to the intelligence of every nook/nookcolor owner. And we can't use our discount card for what reason. We want to be loyal customers. Please inspire us to do so. If you did not know, we want quality nookbooks and apps at fair prices. If you are a fellow nook owner and see an example of nookbook price abuse, add a comment to your review. Or not."
The Great Gatsby,0743273567,F. Scott Fitzgerald,Barnes and Noble,4.1,leehoove,"Though the ending isn't Disney-worthy (my usual preference), Fitzgerald did a marvelous job.  The book centers around the mysterious character of Gatsby, and, as you turn the pages, his history unravels before your eyes, as well as the narrator's--Nick.  Nick is an ""average"" guy whom we feel we can trust--because he follows his father's advice and does not immediately judge (or so he says).  The book will make you yearn for a love you know is impossible, cringe with embarrassment at a shameful past, blush at the awkwardness encountered on nearly every page, laugh and cry at the dramatic irony, and have you researching the Charleston (the dance, not the city--this is set in the 1920s, after all!). It may not be considered a typical love story, but the electricity between Daisy and Gatsby is too strong to deny and it always has me wondering what will happen (though I know).  Read for irony, read for lessons, read to be taken back to another time--no, another dimension in which the music never dies and the party is perpetual."
The Great Gatsby,0743273567,F. Scott Fitzgerald,Barnes and Noble,4.1,Anonymous,"Too expensive! I was planning to buy, but I will look for a hard copy. If you want happy nook owners, dont overcharge for classics!"
The Fault in Our Stars,0525478817,John Green,Barnes and Noble,4.6,Shaun_Rice,"Let's face it: Cancer is a popular topic among the literary world, both in fiction and non-fiction. For years, authors have penned the tumultuous lives of those affected by cancer, as well as the lives of those who know people with cancer. I have been following Green's work for several years now, and I have been consistently impressed with the work he has done. However, his previous novels have always fallen short of excellence, something that has changed with the Young Adult author's newest outing. The Fault in Our Stars is wonderful. Plain and simple. Too often ""cancer books"" are downtrodden with overemotional drama that saturates the reading experience with misery. Fortunately, this book changes that. The tone of the book is primarily humorous, as is Green's specialty, and does not dwell excessively on drama. That does not mean, however, that the severity of the characters' situation is ignored. Rather, the cancer is more of a supporting character, always hovering around our narrator, but never entirely interfering with the flow of the story. The cancer simply exists, and while it makes itself known, it does not do so loudly. This offers a nice change of pace for those accustomed to the achingly detailed books about cancer and hospice they might have read in the past. Most importantly, the characters are not the wise and all-knowing cancer kids that is common in many stories of young people suffering with the disease. They offer their perspective, but they are scarcely blatant about it. Hazel, our narrator, offers often amusing observations about the world she lives in as well as the situation she has found herself in, but she is not and does not claim to be an all-knowing book of infinite knowledge. The same is to be said about Gus, our heroic best friend. While the story lacks extravagance, that doesn't stop it from becoming one of the best novels I've read in recent memory. It is a stubborn little book, and will not be easily forgotten like so many other books lining the bookshelves of the present. The prose is quiet and minimal, while still retaining a sort of muted beauty. The dialogue is sharp and witty. The characters are well-drawn out, and you might even find yourself wanting to hug the venerable (and fictional) author Peter Van Houten by the end of the book. In conclusion: Whether you have enjoyed Green's previous works or are familiar with his on-going YouTube phenomenon, you will certainly enjoy The Fault in Our Stars. It's a fantastic book filled with fantastic characters, and is written by a fantastic author. This is destined to be one of the best books of the year, and should not be missed."
The Fault in Our Stars,0525478817,John Green,Barnes and Noble,4.6,-Hagen-,"This book is not only for the young set. There is great benefit to all who read this. It&rsquo;s not only about two teens battling cancer; it&rsquo;s about a lesson to all of us to live our lives every day, every minute. We should be thankful for this time especially if we are lucky enough to find love and be capable of giving. This story is beautiful, funny, heartbreaking and poignant. Gus and Hazel made me laugh, cry, laugh all over again, and cry yet again. I&rsquo;m still crying!"
The Fault in Our Stars,0525478817,John Green,Barnes and Noble,4.6,elschneider,"I prolonged reading this one. I knew it was going to be good - not only because of the rave reviews I'd been hearing, but also because the subject matter was a tough one to tackle. And yet, I let it sit in my TBR pile for three months, while I stalled and read other books.

cancer touches many lives, and everyone deals with it differently. cancer touched my life in June of 2006, when my mom was diagnosed with late-stage hepatocellular carcinoma (cancer of the liver). It was predicted she'd have anywhere between four to six months, and that was with all the surgeries, chemo, and whatever else they could throw her way. Proving the doctors wrong and opting out of all Western medicines and treatments, she gave us four wonderful years.

In exactly two weeks from today, it will have been two years since my mom passed away. And maybe it's the timing, that caused me to finally pick up THE FAULT IN OUR STARS and start reading the first page of a book, I secretly think I'd been dreading to read all-together.

But what I found amongst those pages, was an exceptional story - and while beautifully written, it was tremendously bittersweet. Anyone who has had even a glimpse into this devastating disease, can completely relate to how raw and heartbreaking this journey truly was.

The relationship between Hazel and Augustus from start to finish, was nothing short of believable - full of emotion, yet flavored throughout with well-timed humor, as the two made their way through such unfortunate circumstances. Neither of them gave credit to their cancer - it simply was what it was, and they both dealt with the hand they were given, in the best way they knew how.

You may have noticed (or not?) that I didn't capitalize the c in the word cancer, anywhere above - and that's because I don't believe it deserves that kind of credit or attention. One day we'll figure out how this horrible disease takes over the human body, metastasizes throughout, and ultimately, takes the ones we love. And we'll stop it. Until then, it's exceptional books like THE FAULT IN OUR STARS that makes you realize, it doesn't matter who you are or what your age is, in the end, cancer affects us all.

John Green is a master at story-telling; a true artist in the way he delivered a journey that could have gone in a non-favorable direction, all too easily. A FAULT IN OUR STARS was an excellent read and a favorite YA contemporary for me - this is one I highly recommend to everyone."
The Hobbit,0618260307,J.R.R. Tolkien,Barnes and Noble,4.5,ExtraBitterStoat,"I've loved the Hobbit for a long time, and was excited to see an eBook version come out.  ""Finally, I can read it on my Nook"", I thought.  I was extremely disappointed in some of the choices of the formatters.  Tolkien's illustrations are included, but are reduced to a postage stamp size, for some reason.  The Nook screen has a very high resolution, and the illustrations should take advantage of it!  The illustrations even look terrible on the tiny iPhone screen.  Also, for some reason, the lines of verse are irregularly spaced.  Sometimes you'll get 5 stanzas on the screen, sometimes two or three with bizarre spacing.  If I'm paying for a product, I expect a professional look and consistent formatting!"
The Hobbit,0618260307,J.R.R. Tolkien,Barnes and Noble,4.5,Anonymous,This is a fabulous edition of the Hobbit.  We purchased it for our family library.  My children loved the illustrations.  It is a bit pricy - but a wonderful addition to any collection.
The Hobbit,0618260307,J.R.R. Tolkien,Barnes and Noble,4.5,GVSreading,"The Hobbit (the prelude to the Lord of the Rings) starts out great and never goes downhill from there. When it starts out with a three foot tall person being thrown out of his home with nothing, and coming back the richest person in his country, it will almost always be a great book.
  In the beginning a hobbit named Bilbo gets thrown out of his home and goes on an adventure.  The following exert is Gandalf the wizard getting Bilbo out the door. ""But. """"No time for that!"" ""But.""""No time for that either!""   He then goes on a fantastic journey with talking spiders, goblins, greedy elves, and..riddles.  That last part may not make sense, but it will when you read it and decide it is an incredible book.
  I think it is an occasionally funny, exciting, fantasy genre adventure story.  It sprinkles in humor sparingly at good points in the story.  It is not a book I would recommend for those below eleven or twelve years of age.
 The Hobbit is, in my opinion, an incredible read that should be worth a look from everyone.
 The Hobbit is the greatest book I have ever read, and a true classic.  If you like The Lord of the Rings movies, you will love this book.  When I set it down, I was captivated by its story, and its incredible quality."
The Catcher in the Rye,0316769177,J.D. Salinger,Barnes and Noble,4.2,CC19,"J.D. Salinger's coming of age novel The Catcher in the Rye has delightfully captured the attention of readers for decades.  Its popularity is primarily, but not exclusively, due to the realism behind the plot, characters, and themes.  Although the story takes place during the late 1940s, teenagers everywhere can still relate to the sixteen year old protagonist, Holden Caulfield.  The combination of his criticism, bitterness, and pessimism towards society was carefully crafted to create Holden as a unique narrator with many conflicting thoughts.  In fact, Holden feels so torn between becoming an adult and staying a child that he essentially alienates himself from those who have conformed to one or the other.  The distress and confusion of growing up is the underlying theme that follows Holden throughout the entire novel.
From just the first chapter of the novel readers come to learn that Holden is not your typical adolescent boy.  He does not hold back when criticizing his ""phony"" schoolmates, whose obsessions include girls, sex, smoking, and drinking.  Although Holden feels compelled to engage in the latter two activities himself, he does not necessarily agree with it.  He is merely trying to find a medium between childhood and adulthood.  Feeling alone and isolated, Holden carries out the extreme by leaving his prep school to escape those around him already engrossed in maturing into adults.  The story follows with a number of events that all contribute to Holden's intriguing journey to understanding himself; a journey many young people in the world today go on themselves.  
Because Salinger's themes are so universal yet realistic, The Catcher in the Rye is found to be satisfying and relatable to all types of readers.  Holden and his struggles bring each reader back to a time in their own lives when they were going through a drastic change.  For that reason The Catcher in the Rye can easily be considered timeless.  The thought of keeping this novel off libraries' shelves because of its vulgar language, sexual references, and so-called promotion of drug use is ludicrous.  Do not let the accusations and believers of censorship keep you from becoming immersed into the world of Holden Caulfield."
The Catcher in the Rye,0316769177,J.D. Salinger,Barnes and Noble,4.2,JRews,"I read this book this year for school, I was in a bad mood and I ended up reading half of it in one night. Its a book that's so easy to understand, its so human. There's no action or any thrill much at all besides the everyday life of Holden Caulfield. I recommend this book to anyone who's human. Its enjoyable and relatable. Also, I love the Holden."
The Catcher in the Rye,0316769177,J.D. Salinger,Barnes and Noble,4.2,KLJoy,"The novel ""The Catcher in the Rye"" by J.D. Salinger was written in 1951. However, it is still being read in schools today. Unlike many timeless novels, ""The Catcher in the Rye"" not only provides a strong message that still resonates today, it also is a fascinating, creative piece of writing. 
""The Catcher in the Rye"" takes place in the 1940s and tells the story of Holden Caulfield, a troubled teenager haunted by the death of his little brother. The story follows Holden as he runs away from private school while hoping to find to find happiness somewhere in the streets of New York. Holden is both the protagonist and antagonist of his story. He is stubborn, rude, and judgmental without a cause. On the other hand, Holden loves his little sister and wants to protect children from the world around them. He is broken and in search of something he can't seem to find. He is searching for love. When his brother died, Holden lost someone who loved him. Even though Holden couldn't see the love depart, he feels it slipping away. Holden's parents are too caught up in their own pain to recognize that Holden is struggling. Holden is forced to bear all of his burdens by himself. It is this struggle that makes the novel timeless. In essence we are all Holden, a little lost and a little broken, but always pushing forward, looking for a glimmer of happiness in the distance. Everyone knows the feeling of being in a place where everyone else belongs. Anyone can relate to Holden's struggle to find himself in a place where people look down on those who differ from the status quo.  ""The Catcher in the Rye"" makes the experience both poignant and humorous. Holden is a teenage boy whose thoughts are often ludicrous and socially incorrect. J.D. Salinger knew that there was more to writing a novel then just getting the message across. He accomplishes it with comedy and intrigue. It is hard not to laugh when Holden is lying to a women about his age while calling those around him phonies. ""The Catcher in the Rye"" is a classic because it would remain a talented piece of writing even without a moral ""point"". The novel merges timeless and engaging with an effortlessness that many authors can't achieve."
"Angels & Demons  (Robert Langdon, #1)",1416524797,Dan Brown,Barnes and Noble,4.4,ticareader,"I reluctantly picked this book up. I had read the DaVinci Code really just to see what the big fuss was, but never finished it. Dan Brown redeemed himself with this one. I could not put it down. I love fast paced books and this one definitely is that...now I have to decide if I'll ruin it all by watching the movie, but we'll see."
"Angels & Demons  (Robert Langdon, #1)",1416524797,Dan Brown,Barnes and Noble,4.4,Dave2012,"Robert Langdon and Vittoria Vetra combine to create an amazing story-line with many twists, turns, and surprises in Dan Brown¿s Angels and Demons.  This book has a fair amount of fabrication, along with a number of true, while unknown facts, all of which combine with first-rate and competent characters to create a never failing, addictive novel.     In Vatican City, Rome an ancient and thought-to-be-extinct demonic brotherhood emerges to declare science¿s jurisdiction over religion.  While the brotherhood of the Illuminati is factual, this conspiracy and attack are completely fictional.  Brown¿s interlinking of these two very distinct elements combine into a woven quilt, creating the story of Angels and Demons.     Robert Langdon is a world-renowned Harvard symbologist called to Switzerland¿s Conseil Europ&#233;en pour la Recherche Nucl&#233;aire facility (CERN) to scrutinize a corpse branded with an Illuminati ambigram.  Langdon¿s brilliance connects with Vittoria Vetra¿s common sense to create a kind of juggernaut against the terror of the brotherhood.  This well-rounded team is prone to penetrate the protected Illuminati.     Angels and Demons is a great book that I would recommend to anyone interested.  I am a freshman in High School and had no problem with any of the vocabulary in the story.  I was also intrigued instantaneously and addicted by the third or fourth chapter.  The other great thing about this book is that it is not so predictable that you can tell exactly what is going to happen.  But it does not make you think ¿Where on Earth is this going?¿ and no one likes this.  The novel mixes elements well and creates an entertaining story that I would advise to everyone."
"Angels & Demons  (Robert Langdon, #1)",1416524797,Dan Brown,Barnes and Noble,4.4,unknowing-savior,"Unfortunately, I read Da Vinci Code first, then went back to Angels and Demons.  What I noticed was that the style was identical and the characters were similar and the plot was quite parallel.  It was almost like reading the same book back to back.  Neither book was badly written, it's just that the style showed no variety and read back to back was a let down."
Pride and Prejudice,0679783261,Jane Austen,Barnes and Noble,4.4,Alyssa2010,"I recently read Pride and Prejudice to relax, and I can honestly say that it is one of the best novels I have ever read. The characters of Elizabeth and Mr. Darcy are well developed and enthralling. Elizabeth is the classic stubborn and brazen heroine; a no nonsense kind of girl whose personality from their first meeting rubs Mr. Darcy the wrong way. Through several different personal struggles we see these characters grow as individuals, as well as closer to each other. It is a must read for all the hopeless romantics out there."
Pride and Prejudice,0679783261,Jane Austen,Barnes and Noble,4.4,Guest,"'It is a truth universally acknowledged that any man in possession of a good fortune must be in want of...' a copy of Pride and Prejudice. I had felt guilty that I had watched many film versions of the book before actually reading it. That being said, I grabbed a copy at Barnes and Noble and ran home to read. I'll admit that the language of Jane Austen's day can be a bit confusing at first, but after the first three chapters, I was transported to eighteenth century England, sipping tea, and watching Elizabeth bedazzle Fitzwilliam while dancing at the Netherfield ball. This is a definite must-read for any, true booklover. Bon appetit!"
Pride and Prejudice,0679783261,Jane Austen,Barnes and Noble,4.4,Anonymous,"This is a scan of the 1894 George Allen edition.  There are a lot of problems with the scanner software not being able to recognize letters, or maybe the document was just dirty, but you have to do a lot of guessing as to the words. A difficult read and not for those who have not read Pride and Prejudice before this."
The Kite Runner,1594480001,Khaled Hosseini,Barnes and Noble,4.6,songcatchers,"The Kite Runner takes place in both Afghanistan and California. It's told from the perspective of Amir, first as a little boy and later on as a man. Amir grows up a privileged boy in Afghanistan. His best friend is Hassan, the son of the family servant. Amir is Pashtun, Hassan is Hazara. Amir is Sunni, Hassan is Shi'a. Their differences don't change the fact that these boys were breastfed together, learned to crawl together and are basically inseparable. Then everything changes. Amir witnesses a horror done to Hassan and cannot forgive himself for not stepping in to help him and to do what is right. In 1975 Afghanistan is in turmoil and Amir, then 12 years old, and his father move to San Francisco. Amir grows up feeling guilt and self-hatred over the issue with Hassan and the subsequent results. Then one day, twenty five years after Amir has left Afghanistan, he receives a phone call summoning him back to the place he had hoped to forget. The caller tells Amir ""there is a way to be good again.""The Kite Runner has for it's hero a very flawed human being.....but that's what makes him so believable. Amir the boy does a very cowardly, dastardly deed but Amir the man stands up to the Taliban and even more importantly, he stands up for what is right. This book has forgiveness, redemption and courage for it's main themes. We see how strong the ties of friendship and loyalty can become through the eyes of Amir and a broken little Afghan boy. The setting in Kabul and the culture of the Afghan people make for an interesting backdrop to an unforgettable novel."
The Kite Runner,1594480001,Khaled Hosseini,Barnes and Noble,4.6,Debbie-J-1970,"The story is tragic and heart rending. At some points I really disliked the main character, but I could relate with his frustrations and guilt. He redeemed himself with his bravery in the end. The characters are deep, and the interactions between them are as natural as if the author had witnessed them himself (or, indeed, experienced them!). There is a little bit of Tom Sawyer and Huck Finn in the main character and his hair-lipped friend, respectively. I loved how many plot threads from the main character's childhood came back to him in adulthood, which brought back all the main character's childhood anxieties. I have never known a thing about Afghanistan, except what I hear on the news, but this book brought that beautiful, beleaguered country to life for me in ways I never could have imagined. I was transported to and immersed in a world that is totally beyond the awareness of most westerners. Through Hosseini's magic, I became part of that world and literally felt young Amir's and Hassan's every feeling. A superb novel, both historical and relevant for our times. This is a well written novel that's very culturally and politically aware, and it is certainly worth the time."
The Kite Runner,1594480001,Khaled Hosseini,Barnes and Noble,4.6,Anonymous,"I was given this book about two years ago and it sat on my shelf until now, and I cant believe I didnt read it sooner. I cried, I laughed, and feel in to deep thought throughout this whole book. Its beautiful and you will fall in love with the characters right away. Hassan was my favorite character and you will love him too. I cried so much throughout this book because it evoked such feeling inside of me, do yourself a favor and BUY THE BOOK!"
"Divergent (Divergent, #1)",0062024035,Veronica Roth,Barnes and Noble,4.6,me_chelle54,This book took my breath away! It's been a while since I was so captivated by a book it was in my hand everywhere I went. I started this book early in the morning and refused to put it down until finished. I fell into the rhythm of Tris' voice and was surrounded by this dystopian world she lives in. From beginning to end you find yourself holding your breath in amazement of where this story is taking you. I will be recommending this title to all of my customers!!
"Divergent (Divergent, #1)",0062024035,Veronica Roth,Barnes and Noble,4.6,theReader278,One of the best books I have read. It is a story that keeps you entertained for hours.
"Divergent (Divergent, #1)",0062024035,Veronica Roth,Barnes and Noble,4.6,Anonymous,"This book blew my mind. Some people say that this is the new Hunger Games, but I personally think it's better. I have never read a book that literally stunned me, for a minute after I finished reading it i just sat there basking in the amazingness of this book. I loved the characters (especially Four) and the plot was wonderful. My ultimate favorite part of this book was Tris' voice. The way she narrates the book make it unlike any book I have read, but not at all in a bad way. The only thing that bugged me was the ending. The book is about 480-500 pages long, with the ending being about 50 pages. To me the ending didn't seem complete, but that is probably because it's a series and if the ending seems complete then no one will buy the next book. My ultimate favorite part of this book was Tris' voice. The way she narrates the book make it unlike any book I have read, but not at all in a bad way. All in all i can not wait until the next book in this trilogy comes out."
1984,0451524934,"George Orwell, Erich Fromm, Celâl Üster",Barnes and Noble,4.3,Jessi-21,"So what can I say about this book that hasn't been said before? Having read it I can see how it has become regarded as classic fiction. Of course the year 1984 has come and gone and many folks say had it been titled ""2009"" it would have been much more accurate.
For those of you who haven't read it, it is a complex novel but with a fairly basic plot. The protagonist, Winston Smith, is a functioning member of a society in the future who meets a woman he is attracted to. Much of the book surrounds their attempt to form a relationship in this society that just won't allow that sort of thing. Of course the real point and value of the novel is to illustrate where our current society may be headed if we don't change course, a sort of anti-utopian (dystopian?) novel. This book has brought us common terms such as ""Big Brother"", ""doublethink"", and ""thought police."" There are long sections where Winston reads to his girl friend from the official government manual detailing how the society came to be as well as the evolution of the government-speak (""Newspeak"") language. I am glad that I've read this novel but at the same time I can't say that I would ever want to read it again. My political/societal views are already pretty much cemented in place and this book, while thought provoking, did not change my views. I do agree that it should be studied at the High School level though, not only for its value to the world of literature but also as a way to kick start young people's thinking on what a society should and shouldn't be. 
Essentially 1984 presents a juggernaut state that has become unmoored from whatever benign ideals once berthed it and has drifted off beyond site of a reassuring oasis-like coastline. A state in which its inhabitants no longer strive to achieve their original goals be they based on economical, religious or political ideals and have allowed the state to become a living entity in itself with the destruction of the human spirit as its sole aim.
 
Be sure to watch the three different movies made from this book:
1984 (1954) Peter Cushing is Winston Smith
1984 (1956) Edmond O'Brien is Winston Smith
Nineteen Eighty-Four (1984) John Hurt is Winston Smith"
1984,0451524934,"George Orwell, Erich Fromm, Celâl Üster",Barnes and Noble,4.3,Guest,"I am a high school student. This was not a required reading peice for me. I saw it sitting in Barnes and Noble on a shelf with suggeseted reading. When I first started reading the book it was BORING! I had to force myself to go on. After about the first hundred pages though, it started to get interesting. The story is ok, but this is a book you shouldn't be reading for just the plot. There is so much more to it than the plot. Every person who reads this book will get a different meaning from it.    To me this book says that peoples minds can be molded very easily. Even the strong can be made weak after a certain amount of torture. Perhaps this is a negative thought, but it started me thinking on a much larger scale. I owe a lot of things to this book. I think more clearly since I read this book. I think about more important things, things most 16 yr olds wouldn't think of. This book has truely shown me the light towards literature so to speak.    Whether you are required to read this or not, I think you should. If you have already read it, read it again. I'm sure 10 years from now the book will have a deeper meaning. I can't wait to read it again and find out what those meanings will be."
1984,0451524934,"George Orwell, Erich Fromm, Celâl Üster",Barnes and Noble,4.3,Guest,"I came to 1984 after reading a series of novels by Russian authors about life in Stalingrad during the onslaught by Hitler and then after the cruelty of Stalin. It's easy to see how Orwell extended the grim realities of the concentration camps of Germany and the labor camps of Russia into this dark prophecy. Of course, in many instances his vision has become realized. Big Brother seeks to invade our privacy at every turn via electronic media. Governments pose rhetoric immersed in 'doublespeak'. The Thought Police exist to bully our free expression. Power is exercised by imposing real human suffering upon multitudes. 'The essential act of war is destruction, not necessarily of human lives, but of the products of human labour. War is a way of shattering to pieces, or pouring into the stratosphere, or sinking in the depths of the sea, materials which might otherwise be used to make the masses too comfortable, and hence, in the long run, too intelligent.' Oil comes to mind here. And munitions. And diverse other commodities. In 1984 the war is endless. 'Everywhere there is the same pyramidical structure, the same worship of a semi-divine leader, the same economy existing by and for continuous war.' Sound familiar? The High, or the 'priests of power' only fall when assaulted by the Middle and usually assisted by the Low classes. Then the Middle becomes the High and oppresses the Low for which change only means a new master. The protagonist, Winston, a 'minority of one' questions his own sanity but ultimately defends the 'spirit of man' as a force which cannot be overpowered. In the closing pages we see Orwell's true convictions about the infallible power of Big Brother and the triumph of the human spirit. This dark view has real overtones of Nietzsche and Machiavelli, who wrote with the view of realism based upon the inhumanity they witnessed in their heydays by 'princes' with the 'will to power'. But the 'spirit of man' is truly formidable and cannot be overcome, except temporarily, by totalitarian figures and corrupt democracies. The next US national election will be telling about down which road America will travel. 1984 is a cautionary, post-World War II tale but to say it's unrealistically dark and couldn't happen here and now is to overlook eons of history. And to be unconscious of the powers of orthodoxy infringing greedily and corporately upon the spirit of man in our time."
Animal Farm,0452284244,George Orwell,Barnes and Noble,4.2,Maria_of_amor,"Animal Farm is about the animals on a farm uprising and throwing out their unjust owner in order to run the place themselves. It is a thinly-veiled jab at tyrannical regimes and succeeds tremendously. I breezed through this one and honestly could find nothing wrong with it. The characters are all believable and quite a few are even highly likable. My favorite is the horse Boxer who is renowned for his strength, both of body and character. You have to kind of suspend your disbelief when reading Animal Farm because of some of the things that happen, but it is well worth it. The animals decide that the humans get all of the benefit for their hard work and they are tired of it. Led by two pigs, Napoleon and Snowball, they overthrow the humans. I won't give a bunch of spoilers, but the story unfolds in such a way as to show how a dictatorship comes to be and how the animals went from one form of slavery to another. I also think the character Squealer was done extremely well as far a propaganda man(pig). By the end of the tale, you can see and understand everything that has transpired and the moral stands on its own without you needing to be bashed over the head with it. For a great fairy-tale about the dangers of socialism or any other kind of bad government ending with ""ism"", look no further than Animal Farm, where ""All animals are created equal, but some are more equal than others."""
Animal Farm,0452284244,George Orwell,Barnes and Noble,4.2,Anonymous,"Classic, he was way ahead of his time. Of course evil and lies lurk in our everyday lives. You can see the parallels in today's politics, a must read for everyone and keep your eyes open, freedom is not free-nothing is given to you without consequences read between the lines."
